"","x"
"1714",0.452
"1715",0.345
"1716",0.469
"1717",0.404
"1718",0.607
"1719",0.283
"1720",0.357
"1721",0.296
"1722",0.328
"1723",0.34
"1724",0.287
"1725",0.324
"1726",0.28
"1727",0.197
"1728",0.383
"1729",0.203
"1730",0.429
"1731",0.388
"1732",0.469
"1733",0.304
"1734",0.267
"1735",0.25
"1736",0.365
"1737",0.304
"1738",0.219
"1739",0.123
"1740",0.172
"1741",0.343
"1742",0.307
"1743",0.505
"1744",0.432
"1745",0.456
"1746",0.415
"1747",0.447
"1748",0.502
"1749",0.407
"1750",0.39
"1751",0.523
"1752",0.348
"1753",0.641
"1754",0.68
"1755",0.62
"1756",0.445
"1757",0.429
"1758",0.449
"1759",0.488
"1760",0.395
"1761",0.439
"1762",0.395
"1763",0.423
"1764",0.301
"1765",0.545
"1766",0.43
"1767",0.393
"1768",0.397
"1769",0.45
"1770",0.44
"1771",0.454
"1772",0.518
"1773",0.521
"1774",0.573
"1775",0.429
"1776",0.573
"1777",0.508
"1778",0.619
"1779",0.527
"1780",0.469
"1781",0.295
"1782",0.358
"1783",0.364
"1784",0.436
"1785",0.452
"1786",0.494
"1787",0.586
"1788",0.385
"1789",0.502
"1790",0.355
"1791",0.512
"1792",0.553
"1793",0.494
"1794",0.516
"1795",0.537
"1796",0.51
"1797",0.526
"1798",0.514
"1799",0.493
"1800",0.305
